Geography,Suburb,Gender,Age,Value,,
Port Melbourne,PORT MELBOURNE,Male,85 years and over,108,,
Port Melbourne,PORT MELBOURNE,Female,0-4 years,425,,
Port Melbourne,PORT MELBOURNE,Female,5-14 years,796,,
Port Melbourne,PORT MELBOURNE,Female,15-19 years,318,,
Port Melbourne,PORT MELBOURNE,Female,20-24 years,363,,
Port Melbourne,PORT MELBOURNE,Female,25-34 years,1419,,
Port Melbourne,PORT MELBOURNE,Female,35-44 years,1670,,
Port Melbourne,PORT MELBOURNE,Female,45-54 years,1511,,
Port Melbourne,PORT MELBOURNE,Female,55-64 years,1162,,
Port Melbourne,PORT MELBOURNE,Female,65-74 years,903,,
Port Melbourne,PORT MELBOURNE,Female,75-84 years,500,,
Port Melbourne,PORT MELBOURNE,Female,85 years and over,130,,
South Yarra,SOUTH YARRA,Male,0-4 years,318,,
South Yarra,SOUTH YARRA,Male,5-14 years,548,,
South Yarra,SOUTH YARRA,Male,15-19 years,353,,
South Yarra,SOUTH YARRA,Male,20-24 years,888,,
South Yarra,SOUTH YARRA,Male,25-34 years,4019,,
South Yarra,SOUTH YARRA,Male,35-44 years,2176,,
South Yarra,SOUTH YARRA,Male,45-54 years,1200,,
South Yarra,SOUTH YARRA,Male,55-64 years,1057,,
South Yarra,SOUTH YARRA,Male,65-74 years,743,,
South Yarra,SOUTH YARRA,Male,75-84 years,453,,
South Yarra,SOUTH YARRA,Male,85 years and over,138,,
South Yarra,SOUTH YARRA,Female,0-4 years,370,,
South Yarra,SOUTH YARRA,Female,5-14 years,525,,
South Yarra,SOUTH YARRA,Female,15-19 years,395,,
South Yarra,SOUTH YARRA,Female,20-24 years,1302,,
South Yarra,SOUTH YARRA,Female,25-34 years,4525,,
South Yarra,SOUTH YARRA,Female,35-44 years,2010,,
South Yarra,SOUTH YARRA,Female,45-54 years,1246,,
South Yarra,SOUTH YARRA,Female,55-64 years,1033,,
South Yarra,SOUTH YARRA,Female,65-74 years,948,,
South Yarra,SOUTH YARRA,Female,75-84 years,574,,
South Yarra,SOUTH YARRA,Female,85 years and over,226,,
Southbank,SOUTHBANK,Male,0-4 years,362,,
Southbank,SOUTHBANK,Male,5-14 years,327,,
Southbank,SOUTHBANK,Male,15-19 years,200,,
Southbank,SOUTHBANK,Male,20-24 years,1336,,
Southbank,SOUTHBANK,Male,25-34 years,4741,,
Southbank,SOUTHBANK,Male,35-44 years,2312,,
Southbank,SOUTHBANK,Male,45-54 years,908,,
Southbank,SOUTHBANK,Male,55-64 years,646,,
Southbank,SOUTHBANK,Male,65-74 years,421,,
Southbank,SOUTHBANK,Male,75-84 years,184,,
Southbank,SOUTHBANK,Male,85 years and over,34,,
Southbank,SOUTHBANK,Female,0-4 years,331,,
Southbank,SOUTHBANK,Female,5-14 years,326,,
Southbank,SOUTHBANK,Female,15-19 years,257,,
Southbank,SOUTHBANK,Female,20-24 years,1514,,
Southbank,SOUTHBANK,Female,25-34 years,4683,,
Southbank,SOUTHBANK,Female,35-44 years,1894,,
Southbank,SOUTHBANK,Female,45-54 years,840,,
Southbank,SOUTHBANK,Female,55-64 years,670,,
Southbank,SOUTHBANK,Female,65-74 years,450,,
Southbank,SOUTHBANK,Female,75-84 years,176,,
Southbank,SOUTHBANK,Female,85 years and over,26,,
West Melbourne,WEST MELBOURNE,Male,0-4 years,118,,
West Melbourne,WEST MELBOURNE,Male,5-14 years,167,,
West Melbourne,WEST MELBOURNE,Male,15-19 years,117,,
West Melbourne,WEST MELBOURNE,Male,20-24 years,523,,
West Melbourne,WEST MELBOURNE,Male,25-34 years,1655,,
West Melbourne,WEST MELBOURNE,Male,35-44 years,761,,
West Melbourne,WEST MELBOURNE,Male,45-54 years,372,,
West Melbourne,WEST MELBOURNE,Male,55-64 years,223,,
West Melbourne,WEST MELBOURNE,Male,65-74 years,117,,
West Melbourne,WEST MELBOURNE,Male,75-84 years,45,,
West Melbourne,WEST MELBOURNE,Male,85 years and over,5,,
West Melbourne,WEST MELBOURNE,Female,0-4 years,137,,
West Melbourne,WEST MELBOURNE,Female,5-14 years,167,,
West Melbourne,WEST MELBOURNE,Female,15-19 years,117,,
West Melbourne,WEST MELBOURNE,Female,20-24 years,583,,
West Melbourne,WEST MELBOURNE,Female,25-34 years,1588,,
West Melbourne,WEST MELBOURNE,Female,35-44 years,617,,
West Melbourne,WEST MELBOURNE,Female,45-54 years,329,,
West Melbourne,WEST MELBOURNE,Female,55-64 years,209,,
West Melbourne,WEST MELBOURNE,Female,65-74 years,125,,
West Melbourne,WEST MELBOURNE,Female,75-84 years,47,,
West Melbourne,WEST MELBOURNE,Female,85 years and over,12,,
City of Melbourne,CITY OF MELBOURNE,Male,0-4 years,3012,,
City of Melbourne,CITY OF MELBOURNE,Male,5-14 years,4325,,
City of Melbourne,CITY OF MELBOURNE,Male,15-19 years,3514,,
City of Melbourne,CITY OF MELBOURNE,Male,20-24 years,13245,,
City of Melbourne,CITY OF MELBOURNE,Male,25-34 years,32793,,
City of Melbourne,CITY OF MELBOURNE,Male,35-44 years,16603,,
City of Melbourne,CITY OF MELBOURNE,Male,45-54 years,8839,,
City of Melbourne,CITY OF MELBOURNE,Male,55-64 years,6877,,
City of Melbourne,CITY OF MELBOURNE,Male,65-74 years,4903,,
City of Melbourne,CITY OF MELBOURNE,Male,75-84 years,2544,,
City of Melbourne,CITY OF MELBOURNE,Male,85 years and over,731,,
City of Melbourne,CITY OF MELBOURNE,Female,0-4 years,3001,,
City of Melbourne,CITY OF MELBOURNE,Female,5-14 years,4193,,
City of Melbourne,CITY OF MELBOURNE,Female,15-19 years,4193,,
City of Melbourne,CITY OF MELBOURNE,Female,20-24 years,15218,,
City of Melbourne,CITY OF MELBOURNE,Female,25-34 years,33289,,
City of Melbourne,CITY OF MELBOURNE,Female,35-44 years,15020,,
City of Melbourne,CITY OF MELBOURNE,Female,45-54 years,8802,,
City of Melbourne,CITY OF MELBOURNE,Female,55-64 years,7106,,
City of Melbourne,CITY OF MELBOURNE,Female,65-74 years,5412,,
City of Melbourne,CITY OF MELBOURNE,Female,75-84 years,2731,,
City of Melbourne,CITY OF MELBOURNE,Female,85 years and over,1135,,
